snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1486366311,0,70,48.68808,9.19373,40575,12,0
1486366320,0,73,48.68802,9.19351,40575,11,0
1486366464,0,73,48.68801,9.19344,40575,2,0
1486366513,0,87,48.68693,9.19520,40575,24,0
1486366549,0,73,48.68732,9.19709,40575,27,0
1486366561,0,73,48.68749,9.19794,40575,22,0
1486366570,0,73,48.68759,9.19850,40575,26,0
1486366576,0,78,48.68765,9.19887,40575,24,0
1486366582,0,95,48.68765,9.19915,40575,20,0
1486366588,0,129,48.68753,9.19948,40575,20,0
1486366606,0,163,48.68705,9.19978,40575,13,0
1486366630,0,163,48.68676,9.19989,40575,2,0
1486366669,0,165,48.68644,9.20004,40575,19,0
1486366675,0,163,48.68621,9.20013,40575,24,0
1486366681,0,146,48.68592,9.20031,40575,25,0
1486366690,0,75,48.68589,9.20093,40575,30,0
1486366699,0,73,48.68624,9.20269,40575,43,0
1486366705,0,73,48.68681,9.20563,40575,80,0
1486366711,0,73,48.68747,9.20913,40575,105,0
1486366720,0,73,48.68893,9.21684,40575,140,0
1486366726,0,75,48.69017,9.22369,40575,160,0
1486366732,1575,74,48.69132,9.23025,40575,157,0
1486366738,1875,75,48.69234,9.23589,40575,154,0
1486366744,2175,75,48.69336,9.24203,40575,150,0
1486366750,2475,75,48.69448,9.24839,40575,147,0
1486366756,2750,74,48.69562,9.25493,40575,148,0
1486366762,2950,74,48.69658,9.26021,40575,151,0
1486366768,3125,74,48.69781,9.26683,40575,157,0
1486366774,3325,73,48.69918,9.27376,40575,162,0
1486366780,3475,73,48.70053,9.28063,40575,169,0
1486366786,3600,72,48.70175,9.28683,40575,178,4673
1486366792,3725,72,48.70335,9.29422,40575,186,4673
1486366798,3875,72,48.70514,9.30289,40575,196,4673
1486366804,4000,72,48.70688,9.31127,40575,208,4673
1486366810,4175,72,48.70835,9.31843,40575,216,4673
1486366816,4350,73,48.71031,9.32826,40575,226,4673
1486366822,4525,73,48.71226,9.33823,40575,235,4673
1486366828,4750,73,48.71399,9.34705,40575,242,4673
1486366834,5100,74,48.71571,9.35638,40575,246,4673
1486366846,5750,74,48.71960,9.37761,40575,250,4673
1486366858,6525,71,48.72336,9.39704,40575,250,4673
1486366864,6850,64,48.72610,9.40585,40575,250,4673
1486366870,7225,53,48.73083,9.41637,40575,249,4673
1486366876,7550,43,48.73596,9.42403,40575,252,4673
1486366882,7800,35,48.74033,9.42894,40575,255,4673
1486366888,8050,25,48.74704,9.43422,40575,259,4673
1486366894,8250,14,48.75388,9.43733,40575,265,4673
1486366900,8500,2,48.76218,9.43810,40575,272,4673
1486366921,9400,335,48.78851,9.42598,7970,291,4673
1486366941,10350,334,48.81280,9.40768,7970,301,4673
1486366956,10725,339,48.83212,9.39584,7970,319,4673
1486366971,11050,339,48.85478,9.38310,7970,337,4673
1486366986,11375,339,48.87712,9.37049,7970,356,4673
1486367001,12000,339,48.90173,9.35645,7970,365,4673
1486367036,13700,339,48.95736,9.32443,7970,372,4673
1486367071,15425,339,49.01378,9.29169,7970,375,4673
1486367106,16675,339,49.06988,9.25915,7970,372,4673
1486367141,17375,339,49.12793,9.22570,7970,376,4673
1486367177,17925,338,49.18350,9.19302,7970,377,4673
1486367212,18000,338,49.24045,9.15957,7970,372,4673
1486367277,18000,339,49.34467,9.09849,7970,368,4673
1486367340,18000,338,49.44564,9.03885,16971,371,4673
1486367401,16950,338,49.54083,8.98248,4000,350,4673
1486367434,16300,338,49.58917,8.95349,4000,344,4673
1486367467,15575,338,49.63800,8.92454,4000,338,4673
1486367500,14900,338,49.68700,8.89517,4000,335,4673
1486367533,14200,338,49.73396,8.86705,4000,329,4673
1486367563,13525,328,49.77491,8.84013,4000,327,4673
1486367569,13375,318,49.78305,8.83004,4000,328,4673
1486367575,13225,309,49.78911,8.81942,4000,329,4673
1486367582,13075,303,49.79372,8.80866,4000,328,4673
1486367590,12875,288,49.79902,8.78847,4000,326,4673
1486367596,12750,278,49.80071,8.77461,4000,324,4673
1486367602,12625,273,49.80126,8.76286,4000,322,4673
1486367608,12525,271,49.80154,8.74823,4000,319,4673
1486367614,12425,270,49.80167,8.73413,4000,316,4673
1486367620,12300,270,49.80177,8.72003,4000,313,4673
1486367656,11525,270,49.80244,8.64386,4000,303,4673
1486367668,11275,270,49.80263,8.61545,4000,300,4673
1486367681,11050,270,49.80272,8.59109,4000,297,4673
1486367693,10775,270,49.80284,8.56362,4000,295,4673
1486367705,10450,270,49.80298,8.54128,4000,294,4673
1486367717,10100,270,49.80322,8.51359,4000,295,1587
1486367729,9750,271,49.80349,8.48887,4000,294,1587
1486367741,9425,271,49.80386,8.46430,4000,295,1587
1486367753,9050,271,49.80428,8.43936,4000,295,4673
1486367765,8675,270,49.80464,8.41227,4000,296,4673
1486367777,8250,270,49.80483,8.38741,4000,296,4673
1486367789,7750,270,49.80501,8.36088,4000,300,4673
1486367813,6675,270,49.80487,8.30863,4000,308,4673
1486367825,6200,270,49.80498,8.28473,4000,311,4673
1486367837,5650,277,49.80633,8.25572,4000,312,4673
1486367843,5400,281,49.80766,8.24517,4000,313,4673
1486367849,5175,284,49.80972,8.23194,4000,313,4673
1486367855,4900,284,49.81238,8.21647,4000,313,4673
1486367861,4725,284,49.81426,8.20570,4000,313,4673
1486367870,4375,284,49.81783,8.18481,4000,312,4673
1486367876,4200,284,49.82011,8.17166,4000,310,4673
1486367882,4075,284,49.82235,8.15854,4000,307,4673
1486367888,4000,284,49.82449,8.14547,4000,301,4673
1486367894,3975,284,49.82634,8.13429,4000,295,4673
1486367900,3975,284,49.82835,8.12253,4000,286,4673
1486367906,3950,289,49.83063,8.11125,4000,277,4673
1486367912,3950,299,49.83477,8.09900,4000,270,4673
1486367918,3950,310,49.83879,8.09136,4000,265,4673
