snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1486405594,0,320,52.55429,13.28617,5656,12,0
1486405664,0,261,52.55582,13.28337,5656,8,0
1486405674,0,261,52.55575,13.28280,5656,8,0
1486405684,0,261,52.55572,13.28238,5656,9,0
1486405694,0,261,52.55561,13.28136,5656,12,0
1486405704,0,261,52.55551,13.28039,5656,14,0
1486405719,0,258,52.55534,13.27855,5656,18,0
1486405729,0,267,52.55522,13.27728,5656,14,0
1486405744,0,317,52.55563,13.27576,5656,13,0
1486405758,0,354,52.55630,13.27530,5656,11,0
1486405773,0,67,52.55675,13.27576,5656,7,0
1486405783,0,78,52.55680,13.27627,5656,8,0
1486405793,0,78,52.55695,13.27764,5656,32,0
1486405804,0,81,52.55738,13.28199,5656,90,0
1486405818,0,84,52.55878,13.29652,5656,148,0
1486405828,575,82,52.55980,13.30837,5656,146,0
1486405838,1175,82,52.56060,13.31873,5656,144,0
1486405848,1525,83,52.56143,13.32995,5656,156,0
1486405858,1900,83,52.56227,13.34219,5656,167,0
1486405868,2300,84,52.56313,13.35579,5656,178,0
1486405878,3000,84,52.56399,13.36918,5656,172,4916
1486405884,3225,83,52.56437,13.37491,5656,173,4916
1486405893,3500,85,52.56534,13.38912,5656,188,4916
1486405903,4000,85,52.56651,13.40481,5656,197,4916
1486405914,4525,85,52.56747,13.41827,5656,200,4916
1486405924,4900,83,52.56800,13.42620,13022,199,4916
1486405944,6150,135,52.55873,13.46053,5656,212,4916
1486405954,6775,161,52.54859,13.46947,5656,218,4916
1486405964,7300,181,52.53822,13.47160,5656,224,4916
1486405974,7775,196,52.52847,13.46855,5656,235,4916
1486405984,8225,218,52.51809,13.45864,5656,242,4916
1486405993,8525,238,52.51117,13.44376,5656,254,4916
1486406004,8850,245,52.50566,13.42671,5656,262,4916
1486406014,9325,244,52.50022,13.40834,5656,272,4916
1486406033,10400,245,52.48920,13.37112,5656,276,4916
1486406044,10725,243,52.48364,13.35310,5656,289,4916
1486406059,11150,244,52.47322,13.31940,5656,310,4916
1486406074,11550,243,52.46301,13.28598,5656,332,4916
1486406088,12175,244,52.45241,13.25140,5656,339,4916
1486406119,13700,244,52.43085,13.18155,5656,348,4916
1486406153,15625,243,52.40595,13.10010,5656,354,4916
1486406188,17325,240,52.37997,13.01684,5656,361,4916
1486406208,18175,233,52.35988,12.96913,5656,372,4916
1486406278,21150,233,52.28604,12.81013,5656,379,4916
1486406339,23425,232,52.21962,12.66846,5656,394,4916
1486406400,25925,233,52.15361,12.52769,5656,385,4916
1486406464,27650,232,52.08497,12.38214,5656,393,4916
1486406528,28000,232,52.01025,12.22496,5656,397,4916
1486406593,28000,232,51.93777,12.07335,5656,392,4916
1486406654,27975,232,51.87062,11.93353,5656,389,4916
1486406719,27950,233,51.79907,11.78610,5656,382,4916
1486406784,27950,231,51.72931,11.64232,5656,390,4916
1486406848,28000,231,51.65515,11.49059,5656,393,4916
1486406913,28025,231,51.58211,11.34193,5656,396,4916
1486406979,28025,232,51.50661,11.18987,5656,394,4916
1486407044,27675,231,51.43250,11.04081,5656,386,4916
1486407108,26700,232,51.36295,10.90157,5656,373,4916
1486407169,25175,232,51.29768,10.77217,5656,369,4916
1486407233,22925,232,51.22577,10.62972,5656,369,4916
1486407297,22000,227,51.15858,10.50224,13862,365,4916
1486407360,21400,225,51.08028,10.37643,559,362,4916
1486407426,20700,225,51.00203,10.25154,559,363,4916
1486407487,19250,225,50.93211,10.13992,559,357,4916
1486407548,17725,225,50.86084,10.02710,559,353,4916
1486407580,16900,225,50.82313,9.96773,559,346,4916
1486407613,16125,224,50.78733,9.91135,559,345,4916
1486407646,15325,224,50.75083,9.85405,264,341,4916
1486407677,14800,224,50.71582,9.79942,264,339,4916
1486407710,14225,224,50.67856,9.74101,264,335,4916
1486407741,13700,224,50.64390,9.68734,1119,329,4916
1486407774,13200,224,50.60875,9.63190,1119,325,4916
1486407807,12650,224,50.57410,9.57856,1119,323,4916
1486407840,12075,224,50.53832,9.52314,1119,323,4916
1486407873,12000,224,50.50282,9.46848,1119,323,4916
1486407904,11975,224,50.47096,9.41900,1119,326,4916
1486407915,12000,224,50.45824,9.39945,1119,323,4916
1486407948,12000,224,50.42292,9.34528,1119,321,4916
1486407981,11975,224,50.38782,9.29132,1119,325,4916
1486407993,11975,224,50.37488,9.27116,1119,325,4916
1486408005,11900,224,50.36165,9.25128,1119,324,4916
1486408017,11750,224,50.34874,9.23191,1119,321,4916
1486408029,11600,224,50.33666,9.21312,1119,320,4916
1486408041,11450,224,50.32361,9.19317,1119,320,4916
1486408053,11275,224,50.31074,9.17337,1119,320,4916
1486408065,11125,224,50.29779,9.15363,1119,320,4916
1486408077,10950,224,50.28540,9.13469,1119,321,4916
1486408089,10725,235,50.27371,9.11345,1119,319,4916
1486408095,10650,243,50.26971,9.10254,1119,318,4916
1486408101,10575,248,50.26630,9.09003,1119,316,4916
1486408108,10500,249,50.26305,9.07593,1119,316,4916
1486408116,10425,249,50.25856,9.05700,1119,317,4916
1486408122,10350,249,50.25523,9.04316,1119,317,4916
1486408134,10200,250,50.24937,9.01792,1119,315,4916
1486408146,10025,249,50.24341,8.99290,1119,312,4916
1486408158,9850,249,50.23727,8.96665,1119,312,4916
1486408170,9700,249,50.23109,8.94114,1119,312,4916
1486408182,9550,249,50.22525,8.91600,1119,311,4916
1486408194,9400,250,50.21983,8.89177,1119,309,4916
1486408206,9250,249,50.21376,8.86708,1119,307,4916
1486408218,9075,249,50.20747,8.84043,1119,306,4916
1486408231,9025,249,50.20175,8.81616,1119,304,4916
1486408242,9000,249,50.19588,8.79099,1119,305,4916
1486408255,9000,249,50.19015,8.76702,1119,306,4916
1486408267,9000,249,50.18401,8.74133,1119,306,4916
1486408279,9000,249,50.17818,8.71715,1119,307,4916
1486408291,8975,249,50.17233,8.69160,1119,307,4916
1486408303,9000,249,50.16623,8.66648,1119,306,4916
1486408315,8975,249,50.16083,8.64357,1119,305,4916
1486408327,8975,249,50.15454,8.61759,1119,305,4916
1486408339,9000,249,50.14851,8.59196,1119,301,4916
1486408351,9000,249,50.14334,8.57049,1119,289,4916
1486408363,9000,249,50.13732,8.54588,1119,277,4916
1486408375,9000,249,50.13224,8.52391,1119,273,4916
1486408388,9000,249,50.12689,8.50156,1119,272,4916
1486408399,8975,249,50.12174,8.48000,1119,272,4916
1486408411,8975,249,50.11623,8.45732,1119,273,4916
1486408423,8975,249,50.11111,8.43579,1119,272,4916
1486408435,9000,249,50.10558,8.41293,1119,272,4916
1486408447,8975,249,50.10027,8.39095,1119,272,4916
1486408459,9000,249,50.09500,8.36906,1119,272,4916
1486408471,8950,249,50.08974,8.34701,1119,273,4916
1486408483,8750,249,50.08434,8.32504,1119,272,4916
1486408498,8500,249,50.07816,8.29938,1119,269,4916
1486408510,8325,249,50.07321,8.27894,1119,268,4916
1486408522,8100,249,50.06726,8.25444,1119,268,4916
1486408534,7925,249,50.06260,8.23529,1119,268,4916
1486408546,7700,249,50.05688,8.21161,1119,268,4916
1486408558,7500,249,50.05148,8.18949,1119,268,4916
1486408570,7300,249,50.04620,8.16769,1119,269,4916
1486408582,7100,249,50.04110,8.14644,1119,269,4916
1486408594,7025,248,50.03581,8.12504,1119,268,4916
1486408606,6950,249,50.03006,8.10219,1119,269,4916
1486408624,6800,249,50.02290,8.07286,1119,268,4916
1486408636,6700,244,50.01707,8.05164,1119,264,4916
1486408648,6525,240,50.00862,8.03527,1119,264,4916
1486408674,5800,174,49.97685,8.02103,8736,267,4916
1486408689,5350,145,49.95931,8.03256,8736,270,4916
1486408700,5150,126,49.95055,8.04652,8736,268,4916
1486408710,5025,108,49.94520,8.06426,8736,261,4916
1486408720,4950,97,49.94296,8.08074,8736,253,4916
1486408740,4850,75,49.94664,8.11615,8736,235,4916
1486408750,4850,73,49.94952,8.13191,8736,233,4916
1486408760,4825,70,49.95297,8.14844,8736,229,4916
1486408770,4825,69,49.95646,8.16314,8736,220,4916
1486408780,4800,69,49.95995,8.17813,8736,210,4916
1486408790,4725,69,49.96349,8.19204,8736,204,4916
1486408800,4575,69,49.96680,8.20508,8736,201,4916
1486408810,4375,68,49.97017,8.21915,8736,200,4916
1486408820,4175,69,49.97360,8.23273,8736,201,4916
1486408830,3925,69,49.97690,8.24650,8736,203,4916
1486408836,3800,69,49.97855,8.25362,8736,205,4916
1486408845,3675,69,49.98044,8.26142,8736,206,4916
1486408855,3400,69,49.98514,8.28087,8736,202,4916
1486408865,3175,69,49.98830,8.29424,8736,201,4916
1486408875,2925,69,49.99159,8.30754,8736,199,4916
1486408881,2825,69,49.99329,8.31457,8736,198,4916
1486408890,2650,69,49.99617,8.32699,8736,195,9030
1486408896,2550,69,49.99791,8.33465,8736,193,9030
1486408905,2375,69,50.00097,8.34768,8736,188,9030
1486408916,2200,69,50.00372,8.35896,8736,186,9030
1486408926,2025,69,50.00706,8.37210,8736,181,9030
1486408941,1725,70,50.01137,8.38965,8736,175,4916
1486408951,1575,69,50.01386,8.40053,8736,157,4916
1486408961,1425,69,50.01619,8.40996,8736,149,4916
1486408970,1325,69,50.01828,8.41892,18617,137,4916
1486408980,1175,70,50.02061,8.42830,18617,128,4916
1486408990,1050,69,50.02275,8.43676,18617,125,4916
1486409000,925,69,50.02452,8.44507,18617,125,4916
1486409009,800,69,50.02643,8.45212,19405,125,4916
1486409019,700,69,50.02840,8.46106,19405,122,4916
1486409029,575,69,50.03025,8.46920,19405,121,4916
1486409039,450,69,50.03258,8.47803,19405,125,4916
1486409049,325,69,50.03421,8.48531,19405,127,4916
1486409158,0,84,50.04351,8.53269,9051,22,4916
1486409169,0,73,50.04383,8.53437,1564,21,4916
1486409175,0,78,50.04398,8.53506,1564,20,4916
1486409183,0,84,50.04401,8.53632,1564,21,4916
1486409189,0,84,50.04407,8.53701,1564,22,4916
1486409195,0,84,50.04407,8.53777,1564,24,4916
1486409201,0,84,50.04420,8.53893,1564,25,4916
1486409210,0,84,50.04432,8.54087,1564,26,4916
1486409219,0,84,50.04443,8.54261,1564,28,4916
1486409225,0,84,50.04453,8.54357,1564,21,4916
1486409231,0,90,50.04454,8.54415,1564,19,4916
1486409237,0,104,50.04449,8.54496,1564,21,4916
1486409253,0,143,50.04353,8.54758,1564,28,4916
1486409259,0,160,50.04272,8.54812,1564,27,4916
1486409265,0,163,50.04203,8.54830,1564,21,4916
1486409271,0,160,50.04155,8.54874,1564,22,4916
1486409277,0,160,50.04085,8.54904,1564,19,4916
1486409284,0,160,50.04062,8.54909,1564,33,4916
1486409290,0,140,50.04031,8.54929,1564,33,4916
1486409296,0,81,50.04019,8.55009,1564,31,4916
1486409304,0,70,50.04023,8.55045,1564,34,4916
1486409313,0,70,50.04053,8.55195,1564,19,4916
1486409322,0,70,50.04082,8.55277,1564,20,4916
1486409328,0,70,50.04093,8.55414,1564,22,4916
1486409334,0,70,50.04132,8.55454,1564,23,4916
