snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1486376329,0,284,60.19774,11.08766,3321,25,0
1486376335,0,264,60.19774,11.08724,3321,26,0
1486376341,0,225,60.19761,11.08677,3321,28,0
1486376350,0,194,60.19693,11.08627,3321,17,20549
1486376365,0,196,60.19584,11.08562,3321,20,20549
1486376371,0,196,60.19521,11.08525,3321,23,20549
1486376377,0,194,60.19452,11.08486,3321,24,20549
1486376383,0,194,60.19389,11.08449,3321,24,20549
1486376389,0,196,60.19323,11.08414,3321,24,20549
1486376395,0,196,60.19267,11.08381,3321,25,20549
1486376401,0,196,60.19194,11.08338,3321,24,20549
1486376407,0,196,60.19134,11.08302,3321,24,20549
1486376413,0,196,60.19070,11.08266,3321,25,20549
1486376419,0,196,60.19006,11.08227,3321,25,20549
1486376425,0,196,60.18941,11.08189,3321,22,20549
1486376431,0,194,60.18902,11.08170,3321,20,20549
1486376437,0,196,60.18848,11.08138,3321,17,20549
1486376443,0,196,60.18799,11.08111,3321,18,20549
1486376449,0,196,60.18747,11.08080,3321,19,20549
1486376461,0,196,60.18653,11.08025,3321,16,20549
1486376473,0,194,60.18569,11.07976,3321,15,20549
1486376479,0,188,60.18532,11.07959,3321,30,20549
1486376507,0,196,60.18406,11.08035,3321,23,20549
1486376606,0,198,60.18373,11.08015,3321,0,20549
1486376657,0,198,60.18373,11.08016,3321,0,20549
1486376702,0,284,60.18333,11.07862,3321,22,20549
1486376714,0,286,60.18346,11.07770,3321,24,20549
1486376723,0,292,60.18356,11.07713,3321,19,20549
1486376741,0,292,60.18365,11.07687,3321,9,20549
1486376853,0,164,60.18367,11.07687,3321,0,20549
1486376871,0,292,60.18389,11.07647,3321,19,20549
1486376883,0,292,60.18414,11.07608,3321,12,20549
1486376913,0,349,60.18432,11.07583,3321,0,20549
1486377033,0,292,60.18454,11.07549,3321,19,20549
1486377039,0,320,60.18482,11.07502,3321,29,20549
1486377112,0,16,60.18799,11.07545,3321,70,20549
1486377127,0,16,60.19608,11.08008,3321,150,20549
1486377139,775,14,60.20359,11.08413,3321,140,20549
1486377145,1100,14,60.20713,11.08599,3321,140,20549
1486377151,1425,15,60.21126,11.08814,3321,142,20549
1486377157,1725,15,60.21529,11.09032,3321,146,20549
1486377163,1925,16,60.21904,11.09250,3321,155,20549
1486377169,2075,16,60.22346,11.09521,3321,168,20549
1486377175,2225,17,60.22831,11.09825,3321,180,20549
1486377181,2450,16,60.23296,11.10112,3321,186,20549
1486377187,2825,15,60.23813,11.10414,3321,185,20549
1486377193,3225,16,60.24307,11.10698,3321,185,20549
1486377199,3575,13,60.24815,11.10974,3321,188,20549
1486377205,3800,9,60.25359,11.11179,3321,199,20549
1486377211,3975,3,60.25936,11.11287,3321,213,20549
1486377235,4850,350,60.28569,11.10689,3321,252,20549
1486377241,5225,351,60.29237,11.10472,3321,254,20549
1486377256,6175,351,60.30986,11.09932,3321,257,20549
1486377268,6875,351,60.32369,11.09492,3321,261,20549
1486377280,7350,354,60.33957,11.09197,3321,275,20549
1486377301,8575,21,60.36356,11.10273,13444,273,20549
1486377322,9900,22,60.38768,11.12347,13444,277,20549
1486377338,10700,23,60.40847,11.14131,13444,292,20549
1486377349,10925,23,60.42057,11.15171,13444,306,20549
1486377369,12000,23,60.44971,11.17702,40224,318,20549
1486377402,13850,23,60.49496,11.21626,40224,328,20549
1486377429,15275,13,60.53369,11.24402,40224,338,20549
1486377435,15550,10,60.54282,11.24773,40224,342,20549
1486377441,15900,7,60.55236,11.25039,40224,344,20549
1486377447,16225,4,60.56255,11.25216,40224,346,20549
1486377453,16550,4,60.57182,11.25363,40224,348,20549
1486377489,18475,4,60.63029,11.26269,40224,356,20549
1486377550,21875,4,60.73141,11.27851,40224,371,20549
1486377613,25250,4,60.84187,11.29594,40224,390,20549
1486377676,28300,4,60.95708,11.31386,40224,406,20549
1486377739,31400,4,61.07716,11.33308,40224,408,20549
1486377800,34350,4,61.18850,11.35091,40224,399,20549
1486377863,35000,4,61.30472,11.36977,40224,401,20549
1486377926,35000,4,61.42139,11.38865,40224,401,20549
1486377989,35000,4,61.53754,11.40773,40224,400,20549
1486378052,35000,2,61.65425,11.42680,40224,401,20549
1486378115,34975,356,61.77136,11.41548,1385,404,20549
1486378176,35000,356,61.88383,11.40204,1385,404,20549
1486378239,32950,356,61.99864,11.38896,1385,401,20549
1486378303,30325,356,62.11404,11.37553,3974,399,20549
1486378364,28100,356,62.22899,11.36129,3974,386,20549
1486378425,26025,356,62.33643,11.34857,3974,376,20549
1486378488,23950,356,62.44505,11.33555,3974,365,20549
1486378549,22000,356,62.54576,11.32334,3974,357,20549
1486378610,20100,356,62.64437,11.31127,3974,348,20549
1486378671,18250,356,62.74063,11.29944,3974,338,20549
1486378732,16450,356,62.83421,11.28782,3974,328,20549
1486378756,15975,345,62.87027,11.27736,3974,320,20549
1486378762,15800,342,62.87890,11.27187,3974,319,20549
1486378768,15500,339,62.88728,11.26542,3974,321,20549
1486378774,15200,336,62.89449,11.25887,3974,326,20549
1486378815,12875,334,62.95464,11.19741,1606,353,20549
1486378846,11700,335,62.99936,11.15163,1606,350,20549
1486378858,11225,335,63.01758,11.13316,1606,348,20549
1486378870,10775,335,63.03465,11.11582,1606,348,20549
1486378882,10300,335,63.05249,11.09767,1606,345,20549
1486378894,9850,334,63.07032,11.07929,1606,342,20549
