snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1486304882,1225,43,51.89974,0.25708,513,157,0
1486304888,1525,42,51.90290,0.26187,513,155,0
1486304894,1750,42,51.90519,0.26524,513,152,0
1486304900,2100,41,51.90898,0.27077,513,148,0
1486304906,2250,41,51.91119,0.27395,513,150,0
1486304912,2375,48,51.91516,0.28061,513,163,0
1486304920,2425,61,51.91724,0.28596,513,173,0
1486304926,2600,79,51.91910,0.29717,513,183,0
1486304949,3100,116,51.91333,0.32794,8858,210,8817
1486304958,3450,116,51.90985,0.33913,8858,215,8817
1486304968,3775,112,51.90614,0.35202,8858,213,8817
1486304978,4150,111,51.90076,0.37165,8858,222,8817
1486304988,4325,113,51.89620,0.38837,8858,239,8817
1486304998,4525,112,51.89136,0.40588,8858,247,8817
1486305008,4700,113,51.88684,0.42175,8858,253,8817
1486305014,4800,113,51.88405,0.43152,8858,254,8817
1486305023,5000,115,51.87930,0.44777,8858,263,8817
1486305034,5500,115,51.87367,0.46707,8858,264,8817
1486305048,6250,115,51.86600,0.49342,8858,269,8817
1486305058,6900,101,51.86179,0.51317,8858,267,8817
1486305075,7750,94,51.86005,0.53944,8119,268,8817
1486305081,8350,94,51.85904,0.56038,8119,271,8817
1486305096,9250,93,51.85785,0.58962,8119,273,8817
1486305111,10250,93,51.85663,0.62096,8119,272,8817
1486305126,10775,94,51.85538,0.65138,8119,289,8817
1486305142,11075,94,51.85351,0.68726,8119,314,8817
1486305156,11825,95,51.85156,0.72327,8119,321,8817
1486305171,12625,95,51.84928,0.75989,8119,326,8817
1486305206,14450,94,51.84472,0.84145,8119,333,8817
1486305241,15975,92,51.84146,0.93323,8119,345,8817
1486305267,16350,108,51.83620,0.99869,8119,348,8817
1486305277,16450,114,51.83140,1.01456,8119,348,8817
1486305287,16675,137,51.81747,1.04088,8119,348,8817
1486305297,16850,151,51.80482,1.05415,8119,348,8817
1486305307,16975,162,51.79458,1.06056,8119,351,8817
1486305317,17500,178,51.77362,1.06478,8119,353,8817
1486305327,18025,179,51.75595,1.06508,8119,355,8817
1486305337,18500,179,51.73918,1.06529,8119,357,8817
1486305402,21400,179,51.62974,1.06627,8119,367,8817
1486305463,23375,178,51.52506,1.06991,15720,385,8817
1486305518,25225,167,51.42709,1.07911,15720,397,8817
1486305528,25525,154,51.41190,1.08787,15720,399,8817
1486305538,25850,145,51.39789,1.10101,15720,400,8817
1486305548,26225,134,51.38385,1.12106,15720,401,8817
1486305558,26650,119,51.37134,1.14852,15720,405,8817
1486305568,27075,113,51.36278,1.17791,15720,407,8817
1486305578,27425,113,51.35513,1.20606,15720,407,8817
1486305648,29550,113,51.30173,1.40099,15720,416,8817
1486305713,31700,113,51.25187,1.58157,15720,411,8817
1486305778,32700,114,51.20136,1.76285,15720,430,8817
1486305840,33575,114,51.14859,1.95074,2866,450,8817
1486305903,34950,114,51.09471,2.14055,2866,451,8817
1486305967,36550,114,51.04132,2.32735,2866,440,8817
1486306029,37000,114,50.98913,2.50877,2866,443,8817
1486306090,37000,114,50.93602,2.69196,2866,445,8817
1486306153,37000,114,50.88199,2.87678,2866,446,8817
