snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1486312442,4125,144,53.71146,9.91111,7742,220,0
1486312463,5125,258,53.71084,9.87448,7742,208,0
1486312473,5400,243,53.70435,9.85367,7742,228,0
1486312479,5450,243,53.70324,9.84739,7742,228,0
1486312491,5688,250,53.69822,9.82453,7742,240,4962
1486312502,5894,249,53.69403,9.80672,7742,260,4962
1486312518,6599,244,53.68448,9.77352,7742,286,4962
1486312531,7675,244,53.67514,9.74034,7742,310,4962
1486312543,8575,244,53.66766,9.71386,7742,314,4962
1486312558,9510,244,53.65712,9.67236,7742,324,4962
1486312571,10142,245,53.64963,9.64604,7742,326,4962
1486312582,10847,244,53.64166,9.61925,7742,319,4962
1486312594,11616,244,53.63386,9.59226,7742,323,4962
1486312606,12342,250,53.62694,9.55904,7742,349,4962
1486312638,13871,246,53.60622,9.48443,7742,340,4962
1486312672,15400,243,53.58357,9.41178,7742,335,4962
1486312703,17005,243,53.56135,9.33523,7742,333,4962
1486312739,18699,244,53.53666,9.25116,7742,342,4962
1486312804,21860,249,53.49831,9.05601,7742,348,4962
1486312865,24350,245,53.46096,8.92324,7742,302,4962
1486312928,26342,248,53.42559,8.77508,7742,351,4962
1486312989,28360,248,53.38632,8.60937,7742,358,4962
1486313051,29912,248,53.34980,8.45673,7742,350,4962
1486313114,30599,248,53.31041,8.29172,7742,362,4962
1486313175,31211,248,53.27068,8.12657,7742,387,4962
1486313238,32282,248,53.22568,7.94325,7742,401,4962
1486313299,33090,248,53.18285,7.76880,7742,407,4962
1486313361,34000,248,53.13634,7.58103,7742,408,4962
1486313422,33999,248,53.09233,7.40426,7742,410,4962
1486313485,34000,247,53.04522,7.21715,7742,410,4962
1486313551,34000,247,52.99794,7.03340,7742,408,4962
1486313618,34000,247,52.94895,6.84023,7742,415,4962
1486313681,34000,247,52.90253,6.66055,7742,415,4962
1486313742,34000,247,52.85812,6.49114,7742,415,4962
1486313804,34000,247,52.81296,6.31925,7742,408,4962
1486313857,34000,264,52.77586,6.16978,7742,324,4962
1486313885,34000,245,52.75258,6.08764,7742,411,4962
1486313950,34000,246,52.70252,5.90516,7742,403,4962
1486314013,34000,246,52.65463,5.72677,7742,396,4962
1486314077,34000,246,52.60640,5.54630,7742,405,4962
1486314143,34000,246,52.55714,5.36607,7742,404,4962
1486314205,33999,245,52.50691,5.18640,7742,408,4962
