snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1486321236,0,0,51.84761,-8.49165,19667,11,0
1486321397,0,343,51.84740,-8.49188,1299,23,0
1486321404,0,345,51.84766,-8.49200,1299,27,0
1486321412,0,348,51.84824,-8.49221,1299,15,0
1486321422,0,340,51.84887,-8.49249,1299,16,0
1486321428,0,345,51.84932,-8.49271,1299,17,0
1486321434,0,343,51.84980,-8.49293,1299,17,0
1486321440,0,340,51.85017,-8.49314,1299,17,0
1486321446,0,340,51.85063,-8.49342,1299,30,0
1486321452,0,340,51.85087,-8.49356,1299,27,0
1486321458,0,337,51.85117,-8.49371,1299,19,0
1486321464,0,312,51.85134,-8.49392,1299,20,0
1486321470,0,281,51.85143,-8.49420,1299,19,0
1486321479,0,239,51.85137,-8.49470,1299,22,0
1486321485,0,227,51.85122,-8.49494,1299,16,0
1486321630,0,70,51.85107,-8.49505,1299,0,0
1486321754,0,205,51.85066,-8.49538,1299,23,0
1486321760,0,213,51.85042,-8.49558,1299,29,0
1486321772,0,180,51.84988,-8.49615,1299,26,0
1486321787,0,160,51.84946,-8.49594,1299,16,0
1486321796,0,160,51.84848,-8.49537,1299,48,0
1486321802,0,160,51.84674,-8.49434,1299,78,0
1486321808,0,160,51.84551,-8.49360,1299,94,0
1486321814,475,160,51.84127,-8.49113,1299,123,0
1486321820,625,158,51.83806,-8.48915,1299,125,0
1486321826,850,158,51.83470,-8.48701,1299,122,0
1486321832,1025,157,51.83173,-8.48511,1299,124,0
1486321838,1200,151,51.82824,-8.48251,1299,127,0
1486321844,1375,137,51.82558,-8.47923,1299,129,0
1486321850,1575,123,51.82325,-8.47466,1299,133,0
1486321856,1750,102,51.82182,-8.46905,1299,135,0
1486321862,1900,81,51.82182,-8.46244,1299,138,0
1486321868,1975,63,51.82301,-8.45688,1299,143,0
1486321874,2050,57,51.82521,-8.45093,1299,150,25378
1486321880,2100,55,51.82773,-8.44485,1299,160,25378
1486321886,2225,53,51.83034,-8.43899,1299,163,25378
1486321892,2300,53,51.83308,-8.43297,1299,171,25378
1486321898,2325,52,51.83611,-8.42659,1299,179,25378
1486321904,2425,49,51.83931,-8.42013,1299,183,25378
1486321911,2600,42,51.84295,-8.41408,1299,180,25378
1486321917,2775,38,51.84676,-8.40897,1299,179,25378
1486321923,2925,37,51.85067,-8.40408,1299,180,25378
1486321929,3075,37,51.85464,-8.39927,1299,180,25378
1486321937,3325,37,51.86059,-8.39188,1299,181,25378
1486321944,3500,38,51.86467,-8.38665,1299,181,25378
1486321952,3725,39,51.87048,-8.37900,1299,182,25378
1486321958,3900,39,51.87451,-8.37372,1299,183,25378
1486321968,4100,40,51.88019,-8.36594,1299,184,25378
1486321976,4325,40,51.88629,-8.35762,1299,187,25378
1486321982,4500,40,51.89044,-8.35191,1299,187,25378
1486321992,4725,40,51.89594,-8.34427,1299,187,25378
1486321998,4875,40,51.90011,-8.33854,1299,188,25378
1486322004,5025,40,51.90427,-8.33282,1299,190,25378
1486322016,5400,43,51.91213,-8.32120,1299,188,25378
1486322028,5750,43,51.91985,-8.30951,1299,188,25378
1486322040,6100,42,51.92739,-8.29813,1299,186,25378
1486322052,6375,42,51.93493,-8.28691,1299,188,25378
1486322064,6650,42,51.94309,-8.27477,1299,192,25378
