flight_id,event_time,longitude,latitude,altitude,speed,on_ground,vert_speed
e528944,2017-08-02T09:55:43Z,31.5944,33.83547,40000,480,0,-64
e5259c3,2017-08-02T09:55:59Z,38.602,40.17773,40000,449,0,0
e528944,2017-08-02T09:34:39Z,34.30768,32.23723,23700,440,0,704
e529378,2017-08-02T09:32:57Z,28.82144,40.9768,0,0,1,0
e51d2a1,2017-08-02T09:34:55Z,40.73094,60.53761,39975,425,0,0
e5259c3,2017-08-02T09:37:13Z,41.40873,39.3273,40000,446,0,0
e5259c3,2017-08-02T09:36:58Z,41.44746,39.31602,40000,447,0,0
e529378,2017-08-02T09:44:40Z,28.82145,40.9768,0,0,1,0
e51d2a1,2017-08-02T09:58:09Z,35.53832,59.95917,40000,403,0,-64
e51d2a1,2017-08-02T09:59:49Z,35.1709,59.94663,40000,397,0,-64
e51ab21,2017-08-02T09:37:15Z,45.01148,61.0606,36000,423,0,0
e529378,2017-08-02T09:39:15Z,28.82146,40.9768,0,0,1,0
e51d2a1,2017-08-02T09:38:27Z,39.91532,60.45617,40000,416,0,64
e5259c3,2017-08-02T09:59:48Z,38.06172,40.37868,40000,454,0,0
e529378,2017-08-02T09:39:51Z,28.82145,40.9768,0,0,1,0
e51ab21,2017-08-02T09:38:37Z,44.687,61.02398,36000,423,0,64
e51d2a1,2017-08-02T09:38:55Z,39.81121,60.44538,40000,417,0,0
e51ab21,2017-08-02T10:01:30Z,39.81758,60.446040000000004,36000,377,0,64
e51d2a1,2017-08-02T09:56:35Z,35.88489,59.97554,40000,407,0,-64
e51ab21,2017-08-02T09:43:16Z,43.62122,60.89772,35975,403,0,128
e51ab21,2017-08-02T09:41:48Z,43.95044,60.93778,36000,413,0,64
e529378,2017-08-02T09:41:49Z,28.82145,40.9768,0,0,1,0
e51ab21,2017-08-02T09:44:28Z,43.35676,60.86506,36000,397,0,64
e51d2a1,2017-08-02T09:44:10Z,38.60587,60.31402,39975,424,0,-64
e51d2a1,2017-08-02T10:06:19Z,33.71932,59.88718,40000,410,0,0
e5259c3,2017-08-02T09:44:29Z,40.31928,39.62936,40000,447,0,0
e51ab21,2017-08-02T09:43:32Z,43.56285,60.89052,36000,402,0,-64
e51d2a1,2017-08-02T10:05:55Z,33.81208,59.89151,39975,411,0,0
e529378,2017-08-02T09:45:19Z,28.82145,40.9768,0,0,1,0
e529378,2017-08-02T09:47:19Z,28.82144,40.9768,0,0,1,0
e528944,2017-08-02T09:47:17Z,32.64445,33.12904,38525,484,0,1152
e528944,2017-08-02T09:56:19Z,31.5188,33.8856,39975,481,0,0
e51d2a1,2017-08-02T10:10:15Z,32.82991,59.84276,39975,416,0,-64
e529378,2017-08-02T09:55:59Z,28.82147,40.97674,0,9,1,0
e51ab21,2017-08-02T09:56:33Z,40.83012,60.54717,36000,372,0,64
e5259c3,2017-08-02T10:06:38Z,36.9759,40.67561,40000,456,0,0
e5259c3,2017-08-02T10:07:39Z,36.81974,40.72069,40000,456,0,0
e528944,2017-08-02T10:00:50Z,30.95488,34.25588,39975,475,0,-64
e51ab21,2017-08-02T09:58:43Z,40.38574,60.50372,36000,372,0,64
e528944,2017-08-02T10:14:53Z,29.23047,35.46974,39975,485,0,-64
e51d2a1,2017-08-02T10:02:05Z,34.67172,59.92806,39975,404,0,-64
e51ab21,2017-08-02T10:09:39Z,38.13551,60.25946,36000,383,0,0
e51ab21,2017-08-02T10:09:59Z,38.06488,60.25108,36000,383,0,0
e51e68c,2017-08-02T10:15:49Z,-24.6582,33.36781,35000,493,0,0
e51ab21,2017-08-02T10:15:51Z,36.83148,60.09966,36000,393,0,0
e528944,2017-08-02T10:02:25Z,30.75859,34.38332,39975,475,0,0
e5259c3,2017-08-02T10:01:31Z,37.76526,40.44348,40000,449,0,0
e529378,2017-08-02T10:16:54Z,28.75055,41.11126,4750,277,0,2816
e51d2a1,2017-08-02T10:17:04Z,31.30554,59.74118,39975,411,0,-64
e529378,2017-08-02T10:03:23Z,28.8147,40.97483,0,29,1,0
e51d2a1,2017-08-02T10:03:45Z,34.29859,59.91284,40000,410,0,-64
e529378,2017-08-02T10:12:13Z,28.80938,40.96963,0,21,1,0
e51e68c,2017-08-02T10:17:54Z,-24.54782,33.6374,35000,495,0,0
e528944,2017-08-02T10:02:07Z,30.79502,34.35975,40000,475,0,-64
e5259c3,2017-08-02T10:17:47Z,35.2115,41.16986,40000,463,0,0
e51ab21,2017-08-02T10:18:53Z,36.1974,60.01731,36000,395,0,0
e5259c3,2017-08-02T10:20:04Z,34.85004,41.26694,40000,461,0,0
e51d2a1,2017-08-02T10:07:38Z,33.42695,59.87322,40000,409,0,-64
