"AC_ID","AV_AIRSPACE_ID","AV_ICAO_STATE_ID","MIN_FLIGHT_LEVEL","MAX_FLIGHT_LEVEL","AV_NAME","SECTOR_TYPE","OBJECTID","WKT"
428,"LFBBP1","LF",265,295,"BORDEAUX SECTOR P1","ES",2080796,"POLYGON Z (( 1.69083333 47.83055556 265.00000000, 1.67777778 47.77333333 265.00000000, 1.65555556 47.65861111 265.00000000, 1.63333333 47.55027778 265.00000000, 1.46666667 47.16666667 265.00000000, 1.81416667 46.88166667 265.00000000, 2.35333333 46.37083333 265.00000000, 2.36305556 46.18888889 265.00000000, 2.91138889 46.37611111 265.00000000, 3.36972222 46.52416667 265.00000000, 3.50000000 46.56666667 265.00000000, 3.06500000 47.31388889 265.00000000, 2.83277778 47.73416667 265.00000000, 2.61027778 48.13333333 265.00000000, 1.78222222 48.13333333 265.00000000, 1.76638889 48.11027778 265.00000000, 1.75861111 48.08333333 265.00000000, 1.75361111 48.06833333 265.00000000, 1.75083333 48.05916667 265.00000000, 1.73000000 47.99888889 265.00000000, 1.71527778 47.95361111 265.00000000, 1.70722222 47.91555556 265.00000000, 1.69083333 47.83055556 265.00000000))"
428,"LFBBN1","LF",195,295,"BORDEAUX SECTOR N1  195-295","ES",2081185,"POLYGON Z (( 0.55833333 42.69305556 195.00000000, 0.73333333 42.85000000 195.00000000, 0.75000000 42.84527778 195.00000000, 0.86194444 42.81583333 195.00000000, 0.99722222 42.77472222 195.00000000, 1.11388889 42.77527778 195.00000000, 1.22944444 42.72444444 195.00000000, 1.37500000 42.69444444 195.00000000, 1.48361111 42.61611111 195.00000000, 1.64583333 42.61722222 195.00000000, 1.67833333 42.61750000 195.00000000, 1.47222222 43.91944444 195.00000000, 0.64750000 43.49222222 195.00000000, 0.41666667 42.70000000 195.00000000, 0.55833333 42.69305556 195.00000000))"
428,"LFBBR3","LF",345,365,"BORDEAUX R3","ES",2081876,"POLYGON Z (( -0.25000000 46.62583333 345.00000000, -0.25000000 46.50000000 345.00000000, -0.72222222 46.30500000 345.00000000, -0.94194444 46.21333333 345.00000000, -1.66666667 45.98138889 345.00000000, -1.67805556 45.56111111 345.00000000, -1.72000000 44.81666667 345.00000000, -0.95000000 44.81666667 345.00000000, -0.71666667 44.81666667 345.00000000, -0.21611111 44.39888889 345.00000000, 0.02416667 44.39666667 345.00000000, 0.65666667 45.03166667 345.00000000, 1.09777778 45.19333333 345.00000000, 0.90666667 45.88333333 345.00000000, 0.91333333 46.52722222 345.00000000, 0.91361111 46.56361111 345.00000000, 0.98666667 47.00416667 345.00000000, 0.45250000 47.08138889 345.00000000, -0.25000000 47.04444444 345.00000000, -0.25000000 46.62583333 345.00000000))"
428,"LFBBN4","LF",365,999,"BORDEAUX SECTOR N4  365-UNL","ES",2082247,"POLYGON Z (( 0.55833333 42.69305556 365.00000000, 0.73333333 42.85000000 365.00000000, 0.75000000 42.84527778 365.00000000, 0.86194444 42.81583333 365.00000000, 0.99722222 42.77472222 365.00000000, 1.11388889 42.77527778 365.00000000, 1.22944444 42.72444444 365.00000000, 1.37500000 42.69444444 365.00000000, 1.48361111 42.61611111 365.00000000, 1.64583333 42.61722222 365.00000000, 1.67833333 42.61750000 365.00000000, 1.47222222 43.91944444 365.00000000, 0.64750000 43.49222222 365.00000000, 0.41666667 42.70000000 365.00000000, 0.55833333 42.69305556 365.00000000))"
428,"LFBBP4","LF",365,999,"BORDEAUX SECTOR P4","ES",2081915,"POLYGON Z (( 1.69083333 47.83055556 365.00000000, 1.67777778 47.77333333 365.00000000, 1.65555556 47.65861111 365.00000000, 1.63333333 47.55027778 365.00000000, 1.46666667 47.16666667 365.00000000, 1.81416667 46.88166667 365.00000000, 2.35333333 46.37083333 365.00000000, 2.36305556 46.18888889 365.00000000, 2.91138889 46.37611111 365.00000000, 3.36972222 46.52416667 365.00000000, 3.50000000 46.56666667 365.00000000, 3.06500000 47.31388889 365.00000000, 2.83277778 47.73416667 365.00000000, 2.61027778 48.13333333 365.00000000, 1.78222222 48.13333333 365.00000000, 1.76638889 48.11027778 365.00000000, 1.75861111 48.08333333 365.00000000, 1.75361111 48.06833333 365.00000000, 1.75083333 48.05916667 365.00000000, 1.73000000 47.99888889 365.00000000, 1.71527778 47.95361111 365.00000000, 1.70722222 47.91555556 365.00000000, 1.69083333 47.83055556 365.00000000))"
428,"LFBBLM","LF",145,195,"BORDEAUX  SECTOR LM","ES",2082539,"POLYGON Z (( 1.28000000 44.50111111 145.00000000, 1.36361111 44.50000000 145.00000000, 1.71666667 44.50000000 145.00000000, 2.60555556 44.05833333 145.00000000, 2.81666667 44.02388889 145.00000000, 2.90000000 44.25000000 145.00000000, 3.03333333 44.61666667 145.00000000, 3.04027778 44.65055556 145.00000000, 3.04083333 44.66638889 145.00000000, 3.04861111 44.87583333 145.00000000, 3.03333333 45.15000000 145.00000000, 3.02111111 45.22333333 145.00000000, 3.01527778 45.39833333 145.00000000, 2.95000000 46.06666667 145.00000000, 2.92500000 46.25555556 145.00000000, 2.91694444 46.33361111 145.00000000, 2.91138889 46.37611111 145.00000000, 2.88583333 46.49916667 145.00000000, 2.87916667 46.54194444 145.00000000, 2.83777778 46.72916667 145.00000000, 2.83333333 46.75000000 145.00000000, 2.16888889 47.08222222 145.00000000, 2.00000000 47.16666667 145.00000000, 1.46666667 47.16666667 145.00000000, 1.05833333 47.16666667 145.00000000, 0.82472222 47.16666667 145.00000000, 0.25555556 47.16666667 145.00000000, 0.18000000 47.16666667 145.00000000, 0.05111111 47.16666667 145.00000000, -0.25000000 47.16666667 145.00000000, -0.25000000 47.04444444 145.00000000, -0.25000000 46.62583333 145.00000000, -0.25000000 46.50000000 145.00000000, -0.72222222 46.30500000 145.00000000, -0.32555556 45.83972222 145.00000000, -0.15055556 45.66666667 145.00000000, 0.09416667 45.50000000 145.00000000, 0.23888889 45.20583333 145.00000000, 0.57972222 44.50000000 145.00000000, 0.60611111 44.50000000 145.00000000, 1.03388889 44.50027778 145.00000000, 1.12611111 44.50000000 145.00000000, 1.28000000 44.50111111 145.00000000))"
428,"LFBBX1","LF",195,295,"BORDEAUX SECTOR X1","ES",2081218,"POLYGON Z (( 0.02416667 44.39666667 195.00000000, 0.64750000 43.49222222 195.00000000, 1.47222222 43.91944444 195.00000000, 2.62500000 44.51666667 195.00000000, 2.28055556 44.76111111 195.00000000, 1.09777778 45.19333333 195.00000000, 0.65666667 45.03166667 195.00000000, 0.02416667 44.39666667 195.00000000))"
428,"LFBBL3","LF",345,365,"BORDEAUX SECTOR L3","ES",2081594,"POLYGON Z (( 2.28055556 44.76111111 345.00000000, 2.42777778 44.95972222 345.00000000, 2.36305556 46.18888889 345.00000000, 2.35333333 46.37083333 345.00000000, 1.81416667 46.88166667 345.00000000, 1.46666667 47.16666667 345.00000000, 0.98666667 47.00416667 345.00000000, 0.91361111 46.56361111 345.00000000, 0.91333333 46.52722222 345.00000000, 0.90666667 45.88333333 345.00000000, 1.09777778 45.19333333 345.00000000, 2.28055556 44.76111111 345.00000000))"
428,"LFBBX2","LF",295,345,"BORDEAUX SECTOR X2","ES",2081272,"POLYGON Z (( 0.02416667 44.39666667 295.00000000, 0.64750000 43.49222222 295.00000000, 1.47222222 43.91944444 295.00000000, 2.62500000 44.51666667 295.00000000, 2.28055556 44.76111111 295.00000000, 1.09777778 45.19333333 295.00000000, 0.65666667 45.03166667 295.00000000, 0.02416667 44.39666667 295.00000000))"
428,"LFBBX4","LF",365,999,"BORDEAUX SECTOR  X4","ES",2082464,"POLYGON Z (( 0.02416667 44.39666667 365.00000000, 0.64750000 43.49222222 365.00000000, 1.47222222 43.91944444 365.00000000, 2.62500000 44.51666667 365.00000000, 2.28055556 44.76111111 365.00000000, 1.09777778 45.19333333 365.00000000, 0.65666667 45.03166667 365.00000000, 0.02416667 44.39666667 365.00000000))"
